zip_code,data_granularity,metric_window,currency,active_listings,estimated_monthly_revenue_usd,occupancy_rate_pct,average_daily_rate_usd,studio_estimated_monthly_revenue_usd,studio_occupancy_rate_pct,studio_average_daily_rate_usd,one_bed_estimated_monthly_revenue_usd,one_bed_occupancy_rate_pct,one_bed_average_daily_rate_usd,two_bed_estimated_monthly_revenue_usd,two_bed_occupancy_rate_pct,two_bed_average_daily_rate_usd,three_bed_estimated_monthly_revenue_usd,three_bed_occupancy_rate_pct,three_bed_average_daily_rate_usd,four_bed_estimated_monthly_revenue_usd,four_bed_occupancy_rate_pct,four_bed_average_daily_rate_usd
90045,zip_code_aggregate,rolling_30_day_avg,USD,266,1764.17,23,290,1972.82,49,141,1428.97,30.0,174.0,1130.89,16,286,1343.2,15.0,368.0,3819.73,24.0,598.0
90046,zip_code_aggregate,rolling_30_day_avg,USD,508,684.375,12,250,1098.35,26,157,921.625,18.0,202.0,757.375,13,249,882.083,8.0,580.0,-787.487,0.0,863.0
90047,zip_code_aggregate,rolling_30_day_avg,USD,217,1275.68,21,233,2261.18,45,177,1432.62,33.0,157.0,1225.49,20,237,1188.07,17.0,279.0,956.3,11.0,393.0
90048,zip_code_aggregate,rolling_30_day_avg,USD,213,1625.47,19,334,542.938,18,119,965.121,22.0,167.0,1362.67,17,320,1677.78,17.0,394.0,3304.16,20.0,639.0
90053,zip_code_aggregate,rolling_30_day_avg,USD,126,773.8,15,212,755.55,15,207,552.975,12.0,202.0,1024.13,16,259,2119.43,29.0,268.0,1715.5,33.0,188.0
90056,zip_code_aggregate,rolling_30_day_avg,USD,143,999.188,18,219,832.2,19,171,682.55,15.0,187.0,1533.0,24,240,1091.35,15.0,299.0,2761.83,23.0,454.0
90058,zip_code_aggregate,rolling_30_day_avg,USD,661,605.9,11,249,629.625,13,207,563.925,12.0,206.0,739.733,11,304,496.4,9.0,272.0,-100.679,2.0,331.0
90059,zip_code_aggregate,rolling_30_day_avg,USD,121,813.342,17,191,893.642,29,113,498.225,17.0,117.0,662.475,14,198,1032.04,16.0,261.0,,,
90063,zip_code_aggregate,rolling_30_day_avg,USD,559,934.4,19,192,1371.49,30,167,855.317,22.0,148.0,1029.0,20,199,807.562,12.0,295.0,647.267,10.0,304.0
90065,zip_code_aggregate,rolling_30_day_avg,USD,135,1490.11,26,213,1376.05,29,174,2406.57,49.0,172.0,1271.11,24,199,1763.56,16.0,446.0,2893.54,24.0,453.0
90068,zip_code_aggregate,rolling_30_day_avg,USD,541,1014.7,11,417,1144.28,21,209,958.125,17.0,225.0,894.25,10,420,879.65,9.0,482.0,1029.6,8.0,677.0
90069,zip_code_aggregate,rolling_30_day_avg,USD,296,658.825,9,361,939.875,18,206,1225.49,20.0,237.0,1980.12,18,434,251.242,4.0,826.0,-792.963,0.0,869.0
90201,zip_code_aggregate,rolling_30_day_avg,USD,175,702.625,17,165,1204.5,33,132,608.942,16.0,154.0,653.958,13,215,1980.12,24.0,310.0,1456.35,22.0,252.0
90210,zip_code_aggregate,rolling_30_day_avg,USD,134,1.13687e-13,3,695,-50.1875,2,165,1000.71,17.0,235.0,369.258,5,607,1899.82,12.0,694.0,-864.138,0.0,947.0
90211,zip_code_aggregate,rolling_30_day_avg,USD,412,854.1,15,234,761.938,18,167,479.062,12.0,175.0,876.608,14,262,1460.0,19.0,300.0,2228.63,20.0,431.0
90212,zip_code_aggregate,rolling_30_day_avg,USD,154,695.933,14,208,1228.83,23,202,655.783,14.0,196.0,809.083,13,266,2329.92,23.0,383.0,912.5,8.0,600.0
90230,zip_code_aggregate,rolling_30_day_avg,USD,201,1259.86,22,218,1107.17,29,140,1253.17,23.0,206.0,1286.62,21,235,1040.25,15.0,285.0,,,
90232,zip_code_aggregate,rolling_30_day_avg,USD,384,869.917,16,220,1067.62,21,195,1213.62,24.0,190.0,758.287,12,277,1026.56,12.0,375.0,742.167,7.0,610.0
90247,zip_code_aggregate,rolling_30_day_avg,USD,149,1043.9,25,156,742.775,25,111,1324.95,39.0,121.0,469.633,11,193,673.425,12.0,246.0,2586.02,29.0,327.0
90249,zip_code_aggregate,rolling_30_day_avg,USD,237,897.9,21,164,1665.62,40,148,992.8,27.0,136.0,980.025,21,179,1268.38,18.0,278.0,1273.85,15.0,349.0
90250,zip_code_aggregate,rolling_30_day_avg,USD,640,1224.57,25,183,1259.25,33,138,1209.37,31.0,142.0,1184.73,22,205,1704.85,22.0,295.0,3683.76,36.0,367.0
